Year,Mean number of employees,Number of employees that left,Accumulated number of employees that left
1,499,2,2
2,530,3,5
3,538,14,19
4,541,16,35
5,530,24,59
6,499,46,105
7,448,56,161
8,406,64,225
9,383,72,297
10,377,50,347
11,369,56,403
12,381,47,450
13,372,45,495
14,360,60,555
15,370,49,604
16,359,47,651
17,357,48,699
18,382,42,741
19,384,51,792
20,372,44,836
21,362,31,867
22,386,29,896
23,376,53,949
24,359,42,991
25,345,55,1046
26,346,43,1089
27,356,44,1133
28,360,34,1167
29,349,42,1209
30,371,38,1247
31,402,33,1280
32,379,46,1326
33,371,30,1356
34,366,32,1388
35,386,33,1421
36,395,34,1455
37,415,37,1492
38,391,55,1547
39,373,43,1590
40,358,48,1638
41,361,38,1676
42,358,38,1714
43,360,49,1763
44,333,35,1798
45,355,35,1833
46,397,40,1873
47,396,32,1905
48,413,25,1930
49,407,30,1960
50,406,30,1990
51,385,51,2041
52,373,36,2077
53,385,29,2106
54,386,31,2137
55,390,42,2179
56,388,32,2211
57,383,41,2252
58,394,28,2280
59,391,44,2324
60,374,39,2363
61,376,40,2403
62,397,43,2446
63,400,38,2484
64,395,30,2514
65,403,34,2548
66,402,45,2593
67,391,39,2632
68,383,61,2693
69,360,51,2744
70,366,48,2792
71,380,35,2827
72,389,37,2864
73,386,42,2906
74,390,26,2932
75,372,49,2981
76,359,61,3042
77,348,47,3089
78,388,36,3125
79,410,38,3163
80,399,52,3215
81,382,45,3260
82,380,53,3313
83,381,38,3351
84,387,40,3391
85,373,46,3437
86,369,45,3482
87,369,41,3523
88,364,43,3566
89,367,43,3609
90,337,49,3658
91,362,46,3704
92,388,33,3737
93,411,41,3778
94,409,40,3818
95,410,37,3855
96,405,35,3890
97,387,44,3934
98,390,38,3972
99,384,56,4028
100,389,46,4074
101,370,37,4111
102,367,46,4157
103,370,49,4206
104,379,44,4250
105,387,32,4282
106,402,29,4311
107,404,40,4351
108,391,29,4380
109,376,40,4420
110,365,42,4462
111,397,42,4504
112,394,42,4546
113,385,46,4592
114,365,41,4633
115,370,35,4668
116,370,41,4709
117,365,47,4756
118,356,50,4806
119,370,48,4854
120,368,57,4911
121,375,43,4954
122,384,37,4991
123,383,52,5043
124,398,39,5082
125,393,43,5125
126,396,38,5163
127,394,47,5210
128,380,45,5255
129,364,67,5322
130,360,49,5371
131,399,35,5406
132,412,32,5438
133,394,45,5483
134,393,28,5511
135,404,34,5545
136,403,42,5587
137,396,31,5618
138,394,34,5652
139,389,30,5682
140,386,35,5717
141,385,55,5772
142,373,34,5806
143,369,50,5856
144,373,40,5896
145,373,58,5954
146,353,46,6000
147,361,46,6046
148,377,41,6087
149,366,45,6132
150,393,43,6175
151,395,39,6214
152,379,44,6258
153,376,33,6291
154,360,46,6337
155,363,50,6387
156,386,57,6444
157,381,35,6479
158,382,26,6505
159,397,42,6547
160,396,45,6592
161,401,43,6635
162,409,37,6672
163,409,43,6715
164,409,36,6751
165,408,36,6787
166,392,43,6830
167,398,41,6871
168,391,42,6913
169,396,30,6943
170,401,43,6986
171,393,35,7021
172,389,35,7056
173,400,32,7088
174,411,34,7122
175,414,37,7159
176,418,47,7206
177,397,44,7250
178,398,54,7304
179,386,53,7357
180,380,43,7400
181,367,45,7445
182,372,45,7490
183,373,32,7522
184,405,37,7559
185,395,35,7594
186,384,49,7643
187,376,44,7687
188,373,46,7733
189,396,56,7789
190,380,45,7834
191,367,45,7879
192,365,35,7914
193,396,45,7959
194,383,50,8009
195,396,43,8052
196,383,53,8105
197,379,43,8148
198,389,50,8198
199,381,43,8241
200,385,44,8285
201,388,52,8337
202,390,45,8382
203,374,41,8423
204,379,38,8461
205,358,39,8500
206,331,44,8544
207,343,55,8599
208,346,54,8653
209,354,32,8685
210,368,39,8724
211,377,42,8766
212,377,43,8809
213,385,36,8845
214,383,59,8904
215,354,73,8977
216,342,62,9039
217,359,38,9077
218,368,34,9111
219,385,29,9140
220,375,66,9206
221,355,51,9257
222,348,36,9293
223,347,38,9331
224,369,44,9375
225,371,46,9421
226,370,34,9455
227,380,33,9488
228,382,43,9531
229,378,38,9569
230,395,43,9612
231,401,32,9644
232,378,41,9685
233,385,40,9725
234,380,48,9773
235,381,47,9820
236,393,34,9854
237,384,52,9906
238,381,35,9941
239,377,30,9971
240,370,27,9998
241,366,40,10038
242,369,35,10073
243,362,26,10099
244,368,45,10144
245,360,24,10168
246,405,50,10218
247,400,29,10247
248,379,41,10288
249,387,46,10334
250,386,39,10373
251,381,46,10419
252,385,52,10471
253,386,45,10516
254,361,40,10556
255,352,49,10605
256,359,34,10639
257,402,43,10682
258,400,37,10719
259,408,28,10747
260,405,30,10777
261,414,31,10808
262,408,36,10844
263,390,41,10885
264,400,53,10938
265,398,35,10973
266,395,45,11018
267,395,42,11060
268,394,42,11102
269,381,44,11146
270,393,37,11183
271,389,35,11218
272,379,49,11267
273,373,33,11300
274,385,43,11343
275,390,43,11386
276,382,37,11423
277,391,46,11469
278,381,57,11526
279,382,45,11571
280,391,28,11599
281,393,36,11635
282,389,31,11666
283,392,36,11702
284,394,36,11738
285,390,33,11771
286,398,26,11797
287,411,37,11834
288,403,32,11866
289,413,37,11903
290,413,43,11946
291,384,42,11988
292,382,31,12019
293,380,39,12058
294,388,43,12101
295,391,33,12134
296,390,38,12172
297,374,38,12210
298,426,35,12245
299,414,38,12283
300,413,47,12330
301,412,43,12373
302,420,37,12410
303,417,38,12448
304,411,43,12491
305,402,41,12532
306,409,38,12570
307,402,41,12611
308,408,46,12657
309,411,30,12687
310,435,35,12722
311,424,36,12758
312,400,50,12808
313,415,36,12844
314,424,30,12874
315,420,22,12896
316,437,38,12934
317,413,42,12976
318,399,49,13025
319,387,35,13060
320,392,43,13103
321,377,38,13141
322,410,43,13184
323,396,48,13232
324,399,28,13260
325,387,53,13313
326,392,38,13351
327,422,34,13385
328,410,47,13432
329,386,40,13472
330,408,36,13508
331,394,37,13545
332,382,37,13582
333,397,57,13639
334,394,49,13688
