series,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
CUSR0000SA0,1.5,1.5,1.9,2.0,1.8,1.7,1.8,1.8,1.7,1.8,2.0,2.3,2.5,2.3,1.5,0.4,0.2,0.7,1.0,1.3,1.4,1.2,1.1,1.3,1.4,1.7,2.7,4.2,4.9,5.3,5.3,5.2,5.4,6.2,6.8,7.1,7.5,7.9,8.6,8.2,8.5
CUSR0000SAT,-1.6,-1.6,0.6,1.7,0.6,-0.6,-0.2,-1.1,-1.4,-1.5,-0.2,1.9,2.7,1.7,-2.4,-9.4,-10.7,-7.9,-5.8,-4.1,-3.1,-3.5,-3.4,-2.6,-1.4,0.6,6.0,14.9,19.8,21.4,19.1,17.6,16.5,18.7,21.1,21.3,20.9,21.1,22.5,19.8,19.3
CUSR0000SAF,1.6,2.0,2.1,1.7,1.9,1.9,1.8,1.7,1.8,2.0,1.9,1.7,1.8,1.8,1.9,3.4,3.9,4.3,3.9,3.9,3.8,3.8,3.7,3.8,3.7,3.5,3.4,2.3,2.1,2.3,3.4,3.6,4.5,5.1,5.8,6.0,6.7,7.6,8.5,9.0,9.7
CUSR0000SAH,2.9,2.9,2.9,2.9,2.8,3.0,3.0,2.9,3.1,2.9,2.8,2.6,2.8,2.7,2.4,2.2,2.2,2.0,2.0,2.1,2.0,1.9,2.0,2.0,1.8,1.8,2.1,2.6,2.9,3.1,3.3,3.5,3.9,4.5,4.8,5.1,5.7,5.9,6.4,6.5,6.9
CUSR0000SAG,1.9,2.2,2.1,1.4,1.6,1.5,1.9,2.3,2.2,2.5,2.4,2.3,2.8,2.7,2.9,2.8,2.4,2.8,2.7,2.2,2.3,1.9,1.7,2.4,2.1,2.1,2.4,2.7,2.7,2.5,2.9,3.5,3.4,4.2,4.4,4.5,4.9,5.6,5.5,5.7,6.3
CUSR0000SAA,-0.3,-1.1,-2.2,-2.7,-2.9,-1.2,-0.6,0.9,-0.3,-2.0,-1.4,-1.3,-1.6,-1.2,-1.6,-5.5,-7.7,-7.2,-6.4,-6.0,-6.0,-5.4,-5.1,-4.2,-2.8,-3.7,-2.5,2.1,5.7,4.9,4.1,4.1,3.4,4.5,5.0,5.7,5.3,6.6,6.8,5.4,5.0
CUSR0000SAR,1.3,1.0,1.3,1.6,1.2,0.9,0.7,1.2,1.0,1.7,1.8,1.5,1.4,1.5,1.3,1.0,2.1,1.6,1.0,1.3,1.5,1.3,1.3,0.9,0.1,0.8,1.1,2.2,1.6,2.4,3.5,3.4,3.5,3.8,3.2,3.3,4.8,4.9,4.8,4.3,4.5
CUSR0000SAM,1.9,1.8,1.7,1.9,2.1,2.0,2.5,3.4,3.5,4.3,4.3,4.6,4.5,4.6,4.7,4.8,4.9,5.1,5.0,4.4,4.2,2.9,2.4,1.8,2.0,2.0,1.8,1.5,0.9,0.4,0.3,0.4,0.4,1.3,1.7,2.2,2.5,2.4,2.9,3.2,3.7
CUSR0000SAE,0.3,0.6,0.8,0.9,0.7,0.6,0.6,0.6,0.4,0.6,1.4,1.4,1.5,1.5,1.5,1.6,1.5,1.4,2.3,2.3,2.2,2.1,1.9,2.0,1.7,1.7,1.5,1.7,1.9,2.1,1.1,1.2,1.7,1.8,1.7,1.6,1.7,1.6,1.6,1.0,0.8
CUSR0000SETB,-10.3,-9.1,-0.3,3.1,-0.2,-5.1,-3.0,-6.9,-8.1,-7.6,-1.5,7.5,12.0,5.3,-10.0,-31.7,-33.4,-23.1,-20.1,-16.7,-15.5,-18.2,-19.6,-15.4,-9.0,1.2,22.3,49.0,55.8,45.1,41.8,42.6,41.9,49.5,57.6,49.2,40.0,38.1,48.2,44.0,49.1
CUSR0000SETG01,-3.0,-2.0,-2.1,-0.9,2.1,2.2,0.9,0.9,1.5,0.7,0.9,0.7,2.0,3.0,-9.6,-23.5,-27.8,-26.8,-24.3,-23.7,-24.9,-20.2,-17.9,-19.4,-21.7,-25.2,-14.3,10.7,25.2,24.8,18.0,6.5,0.9,-4.4,-4.5,0.7,4.9,12.7,23.6,33.3,37.8
CUSR0000SEHB02,2.7,4.4,3.1,4.3,1.6,4.1,4.5,1.7,5.1,2.5,3.3,-0.8,-0.5,0.7,-7.3,-16.0,-17.1,-16.0,-15.6,-13.3,-15.1,-15.6,-12.8,-11.3,-13.3,-17.1,-7.4,8.3,10.2,16.9,23.9,19.3,19.8,25.7,25.3,27.5,23.6,29.0,29.0,22.6,22.2
CUSR0000SAH21,0.7,-0.8,-0.2,-0.2,-0.7,-0.6,-0.3,-0.9,-0.3,-0.3,0.0,-1.2,-0.2,-0.3,-1.2,-1.5,-1.5,-0.7,-0.8,-0.7,0.6,0.3,1.1,1.6,1.6,3.3,4.7,6.3,7.4,7.6,8.4,9.6,9.9,12.6,12.0,11.3,14.6,13.3,15.3,15.9,19.2
CUSR0000SETC,2.1,1.9,1.8,1.9,1.9,1.9,1.4,1.7,2.5,2.1,2.2,1.8,1.9,2.1,1.6,1.3,1.5,0.7,1.6,1.2,0.6,0.5,-0.1,0.4,0.6,0.6,0.6,2.1,2.1,3.5,4.3,6.1,6.9,8.8,10.2,11.3,12.6,14.3,14.2,14.5,15.3
CUUR0000SEME,6.5,7.7,9.1,10.7,12.4,13.7,15.9,18.6,18.8,20.1,20.2,20.4,20.5,20.7,20.6,20.2,19.7,19.4,18.7,17.4,14.1,10.2,7.5,4.8,2.9,1.0,-1.0,-3.0,-5.0,-6.9,-8.5,-9.9,-9.4,-6.4,-3.8,-1.2,1.7,4.1,7.1,10.4,13.8
CUSR0000SETA,0.9,0.5,0.4,0.9,0.4,0.4,0.3,0.4,0.5,0.3,-0.5,-0.7,-1.1,-0.4,-0.4,-1.0,-0.7,-1.3,-0.2,1.6,3.9,4.7,5.1,4.8,4.1,3.8,4.4,9.6,13.9,20.6,19.6,16.9,15.0,16.3,18.4,21.0,23.3,23.5,21.5,17.3,13.7
CUSR0000SEHJ,1.3,2.4,3.3,1.6,2.4,3.1,3.9,2.4,2.3,2.1,2.2,1.2,1.0,1.1,-0.5,-1.9,-1.3,-1.4,-2.3,1.0,0.9,0.4,1.5,2.2,1.5,0.6,3.5,7.8,8.6,8.6,8.8,9.5,11.2,12.0,11.8,13.8,17.0,17.1,15.8,15.0,12.7
CUSR0000SAF11,0.7,1.2,1.4,0.7,1.2,0.9,0.6,0.4,0.6,1.0,1.0,0.7,0.8,0.8,1.1,4.1,4.8,5.6,4.6,4.6,4.1,4.0,3.6,3.9,3.7,3.6,3.3,1.2,0.7,0.9,2.5,2.9,4.5,5.4,6.4,6.5,7.4,8.7,10.0,10.8,11.9
CUSR0000SEHM,1.6,2.0,1.3,0.4,0.9,1.1,1.4,2.3,2.8,2.3,1.3,0.7,0.5,-0.2,0.5,1.7,2.2,2.9,2.4,1.9,1.6,1.8,3.3,3.5,1.7,2.0,2.3,1.8,2.8,2.4,2.5,2.8,3.1,6.3,6.8,7.0,10.7,10.6,10.8,11.2,11.0
CUSR0000SEHN01,2.9,3.0,3.3,2.4,2.0,1.5,1.4,1.1,0.9,0.6,0.8,0.9,0.8,0.0,0.2,1.1,1.8,2.7,4.7,4.6,4.5,5.2,5.2,5.8,6.3,6.4,3.7,3.1,2.8,1.3,0.3,1.5,1.1,1.1,1.0,1.7,3.3,5.8,8.7,10.1,9.9
CUSR0000SERB01,2.2,2.8,2.9,2.6,2.9,2.8,3.5,3.2,2.8,3.3,3.3,3.1,2.5,2.4,1.6,0.0,-0.7,-1.7,-2.1,-0.5,-1.6,-2.9,-2.1,-1.8,-1.7,-2.1,-1.4,0.3,0.4,1.1,2.4,1.1,2.8,3.7,2.8,2.7,3.7,5.2,6.9,7.2,8.3